timestamp,open,close,min,max,volume,volumeQuote,crypto
2013-12-27T00:00:00.000Z,777,742.43,694.84,779,1502.36,1080525.2663,BTCUSD
2013-12-28T00:00:00.000Z,710.46,732.42,672.8,752.42,4583.78,3318390.3467,BTCUSD
2013-12-29T00:00:00.000Z,699.61,746.28,690.5,750.01,4718.43,3381445.0537,BTCUSD
2013-12-30T00:00:00.000Z,715.05,721.52,710.4,758.58,4824.67,3552759.3434,BTCUSD
2014-01-01T00:00:00.000Z,752.69,738.1,719.43,772.36,2697.5,2018043.5009,BTCUSD
2014-01-02T00:00:00.000Z,738.18,800.07,731.33,817.75,4991.8,3795174.0636,BTCUSD
2014-01-03T00:00:00.000Z,767.82,826.19,756.45,835.51,4682.31,3738180.188,BTCUSD
2014-01-04T00:00:00.000Z,826.85,819.01,782.72,827.98,156.97,126571.9924,BTCUSD
2014-01-05T00:00:00.000Z,826.38,893.86,824.66,957.46,2642.19,2365365.9477,BTCUSD
2014-01-06T00:00:00.000Z,928.18,905.34,867.28,1014.16,4681.81,4412612.1195,BTCUSD
2014-01-07T00:00:00.000Z,935.53,790.98,790.98,938.23,1155.46,1026489.8674,BTCUSD
2014-01-08T00:00:00.000Z,787.01,830.5,766.8,859.65,927.51,760631.0692,BTCUSD
2014-01-09T00:00:00.000Z,831.3,828.81,783.2,861.45,946.98,782719.7108,BTCUSD
2014-01-10T00:00:00.000Z,831.9,860,805.5,872.87,977.92,810783.6209,BTCUSD
2014-01-11T00:00:00.000Z,855.16,854.81,848.15,865.3,30.11,25797.7363,BTCUSD
2014-01-12T00:00:00.000Z,899.76,843.4,816.42,908.9,922.79,801714.4149,BTCUSD
2014-01-13T00:00:00.000Z,845.87,824.74,613.7,901.7,431.33,359196.1128,BTCUSD
2014-01-14T00:00:00.000Z,825.59,816.9,808.23,841.3,12.99,10764.1261,BTCUSD
2014-01-15T00:00:00.000Z,821.66,848.63,818.84,851.8,5.86,4912.151,BTCUSD
2014-01-16T00:00:00.000Z,848.96,819.73,819.16,852.44,8.01,6712.668,BTCUSD
2014-01-17T00:00:00.000Z,816.51,798.8,781.29,824.17,7.73,6233.9179,BTCUSD
2014-01-18T00:00:00.000Z,808.92,816.23,806.11,821.34,12.99,10565.7459,BTCUSD
2014-01-19T00:00:00.000Z,818.79,844.77,805.89,848,5.36,4414.03,BTCUSD
2014-01-20T00:00:00.000Z,850.35,836,824.11,851.3,4.57,3831.5119,BTCUSD
2014-01-21T00:00:00.000Z,832.06,832.78,820.79,836.06,6.37,5275.5673,BTCUSD
2014-01-22T00:00:00.000Z,828.01,823.93,811.3,832.25,7.05,5816.7472,BTCUSD
2014-01-23T00:00:00.000Z,827.8,820.6,808.98,828.4,7.6,6244.6567,BTCUSD
2014-01-24T00:00:00.000Z,817.02,784.9,777,817.02,16.95,13371.6103,BTCUSD
2014-01-25T00:00:00.000Z,788.1,804.66,782.39,807.05,17.68,14126.4624,BTCUSD
2014-01-26T00:00:00.000Z,803.8,822.97,799.85,844.08,15.24,12492.396,BTCUSD
2014-01-27T00:00:00.000Z,825.06,761.16,743.99,831.23,14.14,11469.5375,BTCUSD
2014-01-28T00:00:00.000Z,759.97,795.11,750.42,813.59,15.38,12049.398,BTCUSD
2014-01-29T00:00:00.000Z,793.56,799.78,788.99,811.92,17.89,14326.6256,BTCUSD
2014-01-30T00:00:00.000Z,800.68,799.44,783.56,803.28,14.16,11255.1757,BTCUSD
2014-01-31T00:00:00.000Z,802.06,813.24,798.71,815.59,14.66,11850.3947,BTCUSD
2014-02-01T00:00:00.000Z,811.44,821.51,807.29,833.18,18.09,14813.7748,BTCUSD
2014-02-02T00:00:00.000Z,821.81,822,818.89,832.27,12.2,10073.4258,BTCUSD
2014-02-03T00:00:00.000Z,823.79,816.85,805.99,823.79,13.58,11075.6553,BTCUSD
2014-02-04T00:00:00.000Z,813.91,809.44,805.15,816.85,15.7,12730.7645,BTCUSD
2014-02-05T00:00:00.000Z,809.5,784.91,784.91,813.74,14.23,11487.341,BTCUSD
2014-02-06T00:00:00.000Z,791.88,767.44,759.96,797.43,36.39,28404.7964,BTCUSD
2014-02-07T00:00:00.000Z,762.77,701.2,650.61,766.76,20.62,14785.1454,BTCUSD
2014-02-08T00:00:00.000Z,700,676.93,668.55,721.86,28,19670.9891,BTCUSD
2014-02-09T00:00:00.000Z,674.2,683.92,666.72,712.41,16.84,11595.5082,BTCUSD
2014-02-10T00:00:00.000Z,685.84,684.76,543.19,702.97,145.52,91596.7101,BTCUSD
